"Month","Longitude","Latitude","Location","Crime type","City-Town-Village","Population"
"2015-01",-5.923979,54.577498,"Haywood Avenue","BURG","BELFAST",335665
"2015-01",-5.935501,54.613285,"Hallidays Road","ASBO","BELFAST",335665
"2015-01",-5.931541,54.596433,"Donegall Square West","ASBO","BELFAST",335665
"2015-01",-6.277751,54.863182,"Prospect Place","BURG","BALLYMENA",30265
"2015-01",-6.077025,54.519991,"Moorland Court","BURG","LISBURN",121654
"2015-01",-6.025313,54.503398,"Berkeley Hall","VISO","LISBURN",121654
"2015-01",-5.467758,54.442659,"Castle Meadow Road","ASBO","CLOGHY",1165
"2015-01",NA,NA,"No Location","VISO",NA,NA
"2015-01",-6.36561,54.444859,"Hillcrest Manor","VISO","CRAIGAVON",17213
"2015-01",-5.930305,54.598533,"Donegall Place","ASBO","LONDONDERRY",NA
"2015-01",-7.26102,55.049912,"Coneyville","OTCR","LONDONDERRY",NA
"2015-01",-5.980273,54.577301,"Kennedy Way","ASBO","BELFAST",335665
"2015-01",-5.923238,54.585967,"Ormeau Road","SHOP","BELFAST",335665
"2015-01",-6.211243,54.806212,"Main Street","VECR","BALLYMONEY",11365
"2015-01",-6.446869,54.369429,"Laurel Drive","ASBO","STRABANE",17695
"2015-01",-7.330139,55.029517,"Galliagh Park","ASBO","LONDONDERRY",NA
"2015-01",-7.307128,55.030861,"Steelstown Road","ASBO","LONDONDERRY",NA
"2015-01",-6.706117,54.540247,"Derry Road","VISO","NEWTOWNARDS",28654
"2015-01",-5.934882,54.589437,"Donegall Road","ASBO","BELFAST",335665
"2015-01",-6.659032,54.346108,"Navan Street","ASBO","ARMAGH",175621
"2015-01",-5.931955,54.603844,"Union Street","OTTH","COLERAINE",24694
"2015-01",-5.88054,54.58865,"Orangefield Park","VISO","ARMAGH",175621
"2015-01",-6.261289,55.196806,"Kilns Road","VISO","BALLYCASTLE",5765
"2015-01",-6.043742,54.512557,"Railway Street","VISO","COMBER",9256
"2015-01",-6.272986,54.867893,"Broughshane Street","DRUG","BALLYMENA",30265
"2015-01",-6.677735,54.516788,"Ballynakilly Road","VISO","COALISLAND",5789
"2015-01",-5.836324,54.460141,"Lisburn Road","ASBO","BELFAST",335665
"2015-01",-5.980826,54.583312,"Glen Parade","CDAR","BELFAST",335665
"2015-01",-5.950512,54.610314,"Rosewood Street","SHOP","BELFAST",335665
"2015-01",-5.962767,54.594923,"Beechmount Walk","OTCR","BELFAST",335665
"2015-01",-5.64591,54.662863,"Groomsport Road","VISO","BANGOR",62789
"2015-01",-5.87229,54.589916,"Orangefield Avenue","BURG","BELFAST",335665
"2015-01",-6.749769,54.635575,"Drum Road","DRUG","COOKSTOWN",10718
"2015-01",-5.835371,54.45219,"Shrewsbury Dale","ASBO","SAINTFIELD",3354
"2015-01",-5.994709,54.575924,"Slievegallion Drive","OTTH","BELFAST",335665
"2015-01",-5.712382,54.314076,"Glebetown Drive","ASBO","DOWNPATRICK",11012
"2015-01",-7.206893,54.622652,"Killyclogher Road","VISO","OMAGH",21325
"2015-01",-7.753804,54.282771,"Blunnick Road","OTTH","ENNISKILLEN",13826
"2015-01",-5.918416,54.607116,"Pilot Street","OTCR","BELFAST",335665
"2015-01",-6.071102,54.489034,"Eglantine Crescent","SHOP","LISBURN",121654
"2015-01",-5.629695,54.65118,"Pinehill Road","CDAR",NA,NA
"2015-01",-6.02677,54.563791,"Colinmill","CDAR","DUNMURRY",NA
"2015-01",-5.908511,54.5938,"Victor Place","VISO","CRAIGAVON",17213
"2015-01",-7.328458,55.030909,"Knockalla Park","SHOP","LONDONDERRY",NA
"2015-01",-6.774747,54.504262,"Minardin","ASBO","DUNGANNON",15987
"2015-01",-5.798426,54.718826,"Mckeens Avenue","DRUG","CARRICKFERGUS",28653
"2015-01",-6.22472,54.706325,"Greenpark Drive","OTTH","ANTRIM",21896
"2015-01",-6.320616,54.365618,"Drumhorc Road","OTTH","GILFORD",1216
"2015-01",-6.795362,55.167518,"Tunnel Brae","ASBO","CASTLEROCK",1288
"2015-01",-6.38289,54.447221,"Lakeview Park","CDAR","DUNGANNON",15987
"2015-01",-7.330597,55.028289,"Galliagh Park","ASBO","LONDONDERRY",NA
"2015-01",-5.922319,54.584882,"Rutland Street","SHOP","BELFAST",335665
"2015-01",-7.612311,54.354258,"Loane Drive","VISO","ENNISKILLEN",13826
"2015-01",-6.051751,54.504546,"Warren Park","ASBO","LISBURN",121654
"2015-01",-6.32004,54.749964,"Main Street","VISO","BALLYMONEY",11365
"2015-01",-5.941804,54.258009,"Main Street","ASBO","BALLYMONEY",11365
"2015-01",-5.636226,54.662261,"Churchill Park","ASBO","PORTADOWN",22611
"2015-01",-7.322812,54.999402,"Great James Street","CDAR","LONDONDERRY",NA
"2015-01",-5.977839,54.557736,"Phennick Drive","VISO","BELFAST",335665
"2015-01",-6.013387,54.569682,"Horn Drive","ASBO","LONDONDERRY",NA
"2015-01",-6.634768,54.346491,"Ballynahonemore Road","VECR","ARMAGH",175621
"2015-01",-5.92346,54.586483,"Ormeau Road","CDAR","BELFAST",335665
"2015-01",-6.221368,54.715206,"Market Square","ASBO","DUNGANNON",15987
"2015-01",-6.414479,54.437245,"Kernan Road","ASBO","PORTADOWN",22611
"2015-01",-5.933747,54.589552,"Donegall Pass","OTTH","BELFAST",335665
"2015-01",-6.004534,54.675135,"Hydepark Manor","BURG","NEWTOWNABBEY",118261
"2015-01",-5.921864,54.572547,"Haypark Gardens","DRUG","BELFAST",335665
"2015-01",-5.923267,54.652259,"Old Mill Drive","ASBO","NEWTOWNABBEY",118261
"2015-01",NA,NA,"No Location","OTTH",NA,NA
"2015-01",-5.9336,54.5946,"Amelia Street","OTCR","BELFAST",335665
"2015-01",-5.888348,54.60071,"Lewis Park","VISO","BALLYMENA",30265
"2015-01",-6.312501,54.144127,"Warrenpoint Road","DRUG","ROSTREVOR",2469
"2015-01",-6.265227,54.856328,"Chichester Park East","ROBY","BALLYMENA",30265
"2015-01",-5.939684,54.61323,"Brucevale Park","ASBO","BELFAST",335665
"2015-01",-5.935062,54.617375,"Limestone Road","ASBO","BELFAST",335665
"2015-01",-6.510263,55.073015,"Armstrong Drive","PUBO","BALLYMONEY",11365
"2015-01",-5.872104,54.592878,"Holland Drive","VECR","BELFAST",335665
"2015-01",-6.699716,54.540403,"Washingbay Road","CDAR","COALISLAND",5789
"2015-01",-5.96475,54.595487,"Beechmount Link","ASBO","BELFAST",335665
"2015-01",-6.215644,54.618315,"Orchard Hill","ASBO","BALLYMENA",30265
"2015-01",-6.269444,54.882945,"Dunclug Gardens","VISO","BALLYMENA",30265
"2015-01",-5.937646,54.597813,"Killen Street","OTTH","BELFAST",335665
"2015-01",-5.965834,54.674249,"Derrymore Avenue","VISO","NEWTOWNABBEY",118261
"2015-01",-5.90106,54.407291,"Langley Road","VISO","BALLYNAHINCH",5567
"2015-01",-7.467399,54.830626,"Park Road","ASBO","BALLYCASTLE",5765
"2015-01",-7.320469,54.996614,"Shipquay Street","ASBO","LONDONDERRY",NA
"2015-01",-5.856241,54.62002,"Glendarragh Mews","ASBO","BELFAST",335665
"2015-01",-6.031326,54.558124,"Woodside View","VISO","DUNMURRY",NA
"2015-01",-7.631595,54.471274,"Brownhill Meadows","SHOP","IRVINESTOWN",NA
"2015-01",-5.853004,54.617097,"Knocknagoney Avenue","CDAR","BELFAST",335665
"2015-01",-5.805676,54.594638,"Upper Newtownards Road","OTTH","BELFAST",335665
"2015-01",-6.717725,55.185797,"Heathmount","ASBO","PORTSTEWART",7825
"2015-01",-6.041393,54.544523,"Barnfield Road","ASBO","LISBURN",121654
"2015-01",-5.907669,54.575231,"Knock Eden Park","CDAR","BELFAST",335665
"2015-01",-5.982119,54.599408,"Springfield Park","CDAR","BELLAGHY",1067
"2015-01",-6.03288,54.558266,"Glenbawn Crescent","OTTH","DUNMURRY",NA
"2015-01",-7.296574,54.601314,"Campsie Avenue","ASBO","OMAGH",21325
"2015-01",-6.635239,54.344817,"Orangefield Crescent","ASBO","BELFAST",335665
"2015-01",-6.391973,54.443614,"Parkmore","SHOP",NA,NA
"2015-01",-6.028008,54.53205,"Bells Lane","OTTH","LISBURN",121654
"2015-01",-5.920169,54.594289,"Stanfield Row","CDAR","BELFAST",335665
"2015-01",-5.936448,54.612322,"Duncairn Avenue","ASBO","BELFAST",335665
"2015-01",-6.29132,54.435628,"Oaklands","CDAR","ANTRIM",21896
"2015-01",-6.613145,54.756375,"Rainey Street","SHOP","MAGHERAFELT",8387
"2015-01",-5.928374,54.601518,"Donegall Street","ASBO","BELFAST",335665
"2015-01",-6.357332,54.852291,"Gloonan Hill","OTTH","AHOGHILL",3501
"2015-01",-7.269828,54.612133,"Richmond Park","VISO","BALLYMENA",30265
"2015-01",-6.275819,54.868688,"Thomas Street","SHOP","BALLYMENA",30265
"2015-01",-6.456684,54.432213,"Ballyoran Heights","ASBO","PORTADOWN",22611
"2015-01",-5.80804,54.735668,"Beechfield Close","OTTH","BALLYMENA",30265
"2015-01",-5.888253,54.590878,"Woodcot Avenue","ASBO","BELFAST",335665
"2015-01",-6.711641,55.182139,"Sunset Park","VISO","PORTSTEWART",7825
"2015-01",-5.931088,54.602634,"Kent Street","OTTH","BELFAST",335665
"2015-01",-6.637117,55.196043,"Ballywillin Crescent","VISO","PORTRUSH",6621
"2015-01",-7.304636,54.596716,"Glenview Cottages","ASBO","GLENARM",1927
"2015-01",-6.338659,54.177259,"Bank Parade","VISO","NEWRY",27234
"2015-01",-5.913949,54.618181,"Northern Road","CDAR","BELFAST",335665
"2015-01",-6.284126,54.865275,"Princes Street","CDAR","LURGAN",28568
"2015-01",-6.672999,54.352201,"Cathedral Road","VISO","ARMAGH",175621
"2015-01",-6.699716,54.540403,"Washingbay Road","ASBO","COALISLAND",5789
"2015-01",-5.909709,54.585824,"Oakleigh Park","VECR","BELFAST",335665
"2015-01",-7.32043,55.011812,"Dunvale Close","CDAR","LONDONDERRY",NA
"2015-01",-7.298375,54.596437,"Festival Park","OTTH","OMAGH",21325
"2015-01",-6.71069,54.529506,"Bush Road","ASBO","ANTRIM",21896
"2015-01",-6.755783,54.648088,"Westland Road","ASBO","COOKSTOWN",10718
"2015-01",-6.347927,54.190288,"Lisdrum Avenue","SHOP","NEWRY",27234
"2015-01",-5.928176,54.655973,"Longlands Walk","VISO","NEWTOWNABBEY",118261
"2015-01",-6.007366,54.76317,"Gateside Park","VISO","BALLYCLARE",18675
"2015-01",-5.64718,54.640092,"Hampton Mews","ASBO","NEWTOWNABBEY",118261
"2015-01",-6.069297,54.464781,"Windsor Hill","CDAR","WARINGSTOWN",2562
"2015-01",-5.891737,54.598019,"Connswater Street","POSW","BELFAST",335665
"2015-01",-6.651285,55.203828,"Victoria Street","ASBO","BALLYMONEY",11365
"2015-01",-5.93543,54.595116,"Glengall Street","CDAR","BELFAST",335665
"2015-01",-6.283776,54.866546,"Clarence Street","CDAR","BALLYMENA",30265
"2015-01",-5.883642,54.590582,"Grace Avenue","VISO","BALLYGALLEY",718
"2015-01",-6.366144,54.851934,"Cullybackey Road","ASBO","BALLYMENA",30265
"2015-01",-6.883539,55.159644,"Seacoast Road","ASBO","LIMAVADY",12128
"2015-01",-6.668087,55.129156,"New Market Street","VISO","COLERAINE",24694
"2015-01",-5.973875,54.585604,"Falls Road","OTTH","BELFAST",335665
"2015-01",-5.964856,54.602973,"Woodvale Avenue","VISO","OMAGH",21325
"2015-01",-5.922781,54.625332,"York Park","ASBO","BELFAST",335665
"2015-01",-7.269828,54.612133,"Richmond Park","VISO","BALLYMENA",30265
"2015-01",-5.919596,54.607639,"Pilot Street","ASBO","BELFAST",335665
"2015-01",-6.041629,54.542164,"Milltown Park","ASBO","LISBURN",121654
"2015-01",-6.348362,54.464319,"Silverwood Road","ASBO","LURGAN",28568
"2015-01",-5.951435,54.58979,"Empire Drive","BURG","BELFAST",335665
"2015-01",-6.233804,54.484208,"Castle Avenue","ASBO","RANDALSTOWN",5127
"2015-01",-7.328775,55.00911,"Glenbrook Terrace","ASBO","LONDONDERRY",NA
"2015-01",-7.639065,54.346274,"Market Street","VISO","BALLYMONEY",11365
"2015-01",-6.685103,55.114186,"Redwood Park","VISO","COLERAINE",24694
"2015-01",-5.979075,54.56401,"Upper Lisburn Road","OTTH","BELFAST",335665
"2015-01",-5.979905,54.629111,"Wolfend Drive","OTTH",NA,NA
"2015-01",-5.958102,54.585779,"Lecale Street","CDAR","BELFAST",335665
"2015-01",-5.913227,54.603864,"Queens Road","VISO","BELFAST",335665
"2015-01",-5.928455,54.549631,"Drumart Green","VISO","BELFAST",335665
"2015-01",-6.069324,54.524451,"Ballymacash Drive","ASBO","LISBURN",121654
"2015-01",-6.668537,54.693436,"Fairhill","OTTH","MAGHERA",8387
"2015-01",-5.88813,54.593257,"Beersbridge Road","ASBO","BELFAST",335665
"2015-01",-6.681687,55.126088,"Kylemore Road","ASBO","COLERAINE",24694
"2015-01",-5.967107,54.628915,"Ballysillan Park","CDAR","BELFAST",335665
"2015-01",-5.932522,54.601518,"Gresham Street","OTTH","BELFAST",335665
"2015-01",-6.672838,54.840887,"Largantogher Park","VISO","MAGHERA",8387
"2015-01",-5.927653,54.600778,"Waring Street","ASBO","BELFAST",335665
"2015-01",-6.314612,55.097405,"Fivey Road","OTTH","BALLYMONEY",11365
"2015-01",-7.484324,54.821267,"Carricklynn Avenue","ASBO","STRABANE",17695
"2015-01",-6.093265,55.023902,"Glenariffe Road","VISO","BALLYMENA",30265
"2015-01",-6.078693,54.50849,"Tirowen Crescent","BURG","LISBURN",121654
"2015-01",-5.747456,54.549899,"High Street","CDAR","HOLYWOOD",12657
"2015-01",-6.645987,54.348127,"Victoria Street","VISO","BALLYMONEY",11365
"2015-01",-5.861838,54.57885,"Ravenswood Park","VISO","BELFAST",335665
"2015-01",-6.342943,54.470192,"Lough Road","DRUG","LISBURN",121654
"2015-01",-5.440688,54.458417,"Princess Anne Road","ASBO","PORTAVOGIE",2154
"2015-01",-5.706512,54.582061,"Dakota Avenue","CDAR","NEWTOWNARDS",28654
"2015-01",-6.669715,54.348652,"Ard Ri Park","ASBO","ARMAGH",175621
"2015-01",-5.95079,54.598612,"Conway Street","BITH","LISBURN",121654
"2015-01",-5.9639,54.594844,"Beechmount Grove","ASBO","BELFAST",335665
"2015-01",-5.92717,54.65716,"Longlands Avenue","OTTH","NEWTOWNABBEY",118261
"2015-01",-5.828779,54.585036,"Leven Close","VISO","BELFAST",335665
"2015-01",-5.943897,54.607956,"Malvern Close","OTTH","BELFAST",335665
"2015-01",-6.811206,54.387898,"Kedew Road","VISO","CALEDON",392
"2015-01",-5.913227,54.603864,"Queens Road","VISO","BELFAST",335665
"2015-01",-5.903573,54.696162,"Hedgelea Avenue","VISO","NEWTOWNABBEY",118261
"2015-01",-6.753269,54.648745,"Millburn Avenue","SHOP","COOKSTOWN",10718
"2015-01",-5.940852,54.617365,"Brookvale Drive","ASBO","BELFAST",335665
"2015-01",-7.334376,54.988992,"Quarry Street","BURG","LONDONDERRY",NA
"2015-01",-6.292196,54.376036,"Hillside Crescent","ASBO","AUGHER",411
"2015-01",-7.455138,54.821328,"Marian Park","ASBO","DOWNPATRICK",11012
"2015-01",-6.339119,54.175351,"The Mall","ASBO","NEWRY",27234
"2015-01",-6.412939,54.357083,"Ballybeg Park","ASBO","TANDRAGEE",3489
"2015-01",-7.352414,55.013568,"Shanreagh Park","ASBO","LIMAVADY",12128
"2015-01",-5.957705,54.687625,"Manse Terrace","ASBO","NEWTOWNABBEY",118261
"2015-01",-6.318527,54.863951,"Fairyhill","ASBO","BALLYMENA",30265
"2015-01",-6.331429,54.458588,"Trasna Way","OTCR","LISNASKEA",2744
"2015-01",-7.642306,54.346688,"Wesley Street","VISO","LISBURN",121654
"2015-01",-5.982673,54.575373,"Andersonstown Road","DRUG","BELFAST",335665
"2015-01",-5.935936,54.612331,"Antrim Road","ASBO","TEMPLEPATRICK",1518
"2015-01",-7.31798,54.995944,"Foyle Street","VISO","LONDONDERRY",NA
"2015-01",-6.343945,54.177224,"Monaghan Street","CDAR","NEWRY",27234
"2015-01",-6.436846,54.902743,"Skerdan Road","ASBO","PORTGLENONE",1187
"2015-01",-5.929013,54.651396,"Mulderg Drive","VISO","NEWTOWNABBEY",118261
"2015-01",-5.938129,54.612746,"Brucevale Court","ASBO","BELFAST",335665
"2015-01",-5.709197,54.597064,"Westland Drive","ASBO","BALLYWALTER",2123
"2015-01",-6.274841,54.859475,"Larne Street","VISO","BALLYMENA",30265
"2015-01",-5.923546,54.551946,"Castledillon Road","SHOP","BELFAST",335665
"2015-01",-6.336899,54.468223,"Victoria Street","ASBO","BALLYMONEY",11365
"2015-01",-5.874591,54.60365,"Edgcumbe Gardens","SHOP","BELFAST",335665
"2015-01",-7.32592,54.99111,"Bellevue Avenue","ASBO","LONDONDERRY",NA
"2015-01",-6.945934,55.046611,"Benevenagh Drive","ASBO","LIMAVADY",12128
"2015-01",-6.516241,55.067572,"Castle Street","ASBO","DONAGHADEE",6926
"2015-01",-7.550678,54.710277,"Drumnabey Park","VISO","SPAMOUNT",356
"2015-01",-5.933066,54.591086,"Dublin Road","ASBO","OMAGH",21325
"2015-01",-5.927533,54.599788,"High Street","DRUG","HOLYWOOD",12657
"2015-01",-5.922012,54.628877,"Oakmount Drive","SHOP","BELFAST",335665
"2015-01",-6.267073,54.344016,"Belmont View","VISO",NA,NA
"2015-01",-5.925288,54.602256,"Dunbar Street","VISO","BELFAST",335665
"2015-01",-7.517221,54.77744,"Hillhead Road","VISO","BALLYCLARE",18675
"2015-01",-5.919676,54.654902,"Longwood Road","ASBO","NEWTOWNABBEY",118261
"2015-01",-6.341752,54.176915,"Monaghan Street","ASBO","NEWRY",27234
"2015-01",-7.280728,55.003957,"Sperrin Park","CDAR","LONDONDERRY",NA
"2015-01",-6.053518,54.503433,"Ashlea Place","ASBO","LISBURN",121654
"2015-01",-5.95204,54.66708,"Moreland Avenue","VISO","NEWTOWNABBEY",118261
"2015-01",-6.216195,54.720629,"Cossack Court","CDAR","ANTRIM",21896
"2015-01",-5.923999,54.598389,"Victoria Square","DRUG","BELFAST",335665
"2015-01",-5.925591,54.591111,"Ormeau Road","DRUG","BELFAST",335665
"2015-01",-7.282651,55.011775,"Madam'S Bank Road","VISO",NA,NA
"2015-01",-5.53774,54.641698,"Church Lane","CDAR","PORTADOWN",22611
"2015-01",-6.251839,54.858759,"Staffa Drive","ASBO","BALLYMENA",30265
"2015-01",-5.925288,54.602256,"Dunbar Street","VISO","BELFAST",335665
"2015-01",-7.531374,54.319752,"Dunarden Drive","ASBO","LISBELLAW",1279
"2015-01",-6.687057,54.978578,"Houston Crescent","ASBO","GARVAGH",1291
"2015-01",NA,NA,"No Location","OTCR",NA,NA
"2015-01",-5.693351,54.289164,"Coniamstown Road","VECR","DOWNPATRICK",11012
"2015-01",-7.319177,55.019342,"Racecourse Road","ASBO","LONDONDERRY",NA
"2015-01",-5.898782,54.403657,"Church Lane","ASBO","PORTADOWN",22611
"2015-01",-5.936073,54.599844,"Millfield","OTTH","PORTSTEWART",7825
"2015-01",-5.95688,54.602785,"Lawnbrook Avenue","OTTH","BELFAST",335665
"2015-01",-6.949792,55.052825,"Main Street","VISO","BALLYMONEY",11365
"2015-01",-5.903567,54.588252,"Carlingford Street","VISO","BELFAST",335665
"2015-01",-6.276745,54.349554,"Edenderry Terrace","ASBO","BANBRIDGE",14634
"2015-01",-6.179606,54.995874,"Glenravel Road","ASBO","CARGAN",618
"2015-01",-5.934882,54.589437,"Donegall Road","VISO","BELFAST",335665
"2015-01",-5.921031,54.660541,"Glenmount Drive","ASBO","NEWTOWNABBEY",118261
"2015-01",-6.445166,54.4291,"Woodside Green","VISO","PORTADOWN",22611
"2015-01",-7.45461,54.823589,"Evish Grove","ASBO","STRABANE",17695
"2015-01",-5.801218,54.593802,"Burton Avenue","OTTH","DUNDONALD",16257
"2015-01",-5.925292,54.587566,"Powerscourt Place","ASBO","BELFAST",335665
"2015-01",-5.923307,54.636895,"Shore Road","VISO","GLYNN",2156
"2015-01",-5.851664,54.615491,"Glenlea Grove","VISO","BELFAST",335665
"2015-01",-7.181636,55.022132,"Woodvale Road","VISO","BELFAST",335665
"2015-01",-6.345764,54.464867,"Cypress Gardens","BURG","LURGAN",28568
"2015-01",-6.397765,54.445299,"Carnreagh","PUBO","HILLSBOROUGH",3487
"2015-01",-6.355945,54.438295,"Old Court Manor","CDAR","CRAIGAVON",17213
"2015-01",-5.935304,54.623596,"Glanleam Drive","ASBO","BELFAST",335665
"2015-01",-6.348367,54.459997,"Oakridge","ASBO","LISBURN",121654
"2015-01",-5.79306,54.598713,"Lambert Park","ASBO","DUNDONALD",16257
"2015-01",-7.320497,55.006962,"Rock Terrace","CDAR","LONDONDERRY",NA
"2015-01",-5.876207,54.578259,"Clonduff Drive","SHOP","BELFAST",335665
"2015-01",-5.924925,54.599348,"Upper Church Lane","ASBO","PORTADOWN",22611
"2015-01",-6.748197,54.650454,"Millburn Park","ASBO","COOKSTOWN",10718
"2015-01",-6.748474,54.634394,"Sweep Road","ASBO","COOKSTOWN",10718
"2015-01",-5.933066,54.591086,"Dublin Road","VISO","OMAGH",21325
"2015-01",-5.918379,54.575991,"Primrose Street","VECR","BELFAST",335665
"2015-01",-6.261073,54.42198,"Winona Crest","VISO","CRAIGAVON",17213
"2015-01",-6.273283,54.871527,"Devenagh Way","ASBO","BALLYMENA",30265
"2015-01",-6.967175,54.416572,"Orchard Park","ROBY","PORTADOWN",22611
"2015-01",-7.312809,54.988585,"Robert Street","VISO","NEWTOWNARDS",28654
"2015-01",-7.447176,54.255719,"Drumhaw Park","SHOP","LISNASKEA",2744
"2015-01",-7.66135,54.347722,"Ferney Rise","BURG","ENNISKILLEN",13826
"2015-01",-6.655919,54.351032,"Dawson Street","ASBO","ARMAGH",175621
"2015-01",-6.92444,55.148586,"Seacoast Road","VISO","LIMAVADY",12128
"2015-01",-5.985201,54.594976,"Divismore Crescent","VECR","BELFAST",335665
"2015-01",-5.953088,54.580878,"Meadowbank Place","ASBO","GREYSTEEL",1231
"2015-01",-7.637132,54.344103,"Townhall Street","VISO","NEWTOWNSTEWART",1524
"2015-01",-5.990795,54.582544,"Portnamona Court","OTTH","BELFAST",335665
"2015-01",-5.915793,54.592416,"Ravenhill Reach","ASBO","BELFAST",335665
"2015-01",-6.352147,54.180112,"Hospital Road","ASBO","MAGHERAFELT",8387
"2015-01",-5.928966,54.58346,"Rugby Street","ASBO","BELFAST",335665
"2015-01",-5.668506,54.659688,"Market Street","SHOP","BALLYMONEY",11365
"2015-01",-5.99204,54.62766,"Thornberry Avenue","OTTH","BELFAST",335665
"2015-01",-7.659177,54.348255,"Galliagh Park","DRUG","LONDONDERRY",NA
